[0] Instruction,[1] Binary Opcode,[2] Type,[3] Cust. parse,[4] Python code,[5] Features
 unreachable,0x00, []→[],,self._unreachable(),unreachable
 nop,0x01, []→[],,# nop,
 block bt,0x02, [t1∗]→[t2∗],,,
 loop bt,0x03, [t1∗]→[t2∗],,,
 if bt,0x04,  [t1∗ i32]→[t2∗],,,
 else,0x05,,y,,
(reserved),0x06,,,,
(reserved),0x07,,,,
(reserved),0x08,,,,
(reserved),0x09,,,,
(reserved),0x0A,,,,
 end,0x0B,,y,,
 br l,0x0C, [t1∗ t∗]→[t2∗],y,,
 br_if l,0x0D,  [t∗ i32]→[t∗],y,,
 br_table l∗ l,0x0E,  [t1∗ t∗ i32]→[t2∗],y,,
 return,0x0F, [t1∗ t∗]→[t2∗],,,
 call x,0x10, [t1∗]→[t2∗],,,
 call_indirect x y,0x11,  [t1∗ i32]→[t2∗],,,
(reserved),0x12,,,,
(reserved),0x13,,,,
(reserved),0x14,,,,
(reserved),0x15,,,,
(reserved),0x16,,,,
(reserved),0x17,,,,
(reserved),0x18,,,,
(reserved),0x19,,,,
 drop,0x1A, [t]→[],,# drop {-1},
 select,0x1B,  [t t i32]→[t],,if not {-1}:\n\t{-3} = {-2},
 select_t t∗,0x1C,  [t t i32]→[t],y,if not {-1}:\n\t{-3} = {-2},
(reserved),0x1D,,,,
(reserved),0x1E,,,,
(reserved),0x1F,,,,
 local.get x,0x20, []→[t],,{0} = l{imm},
 local.set x,0x21, [t]→[],,l{imm} = {-1},
 local.tee x,0x22, [t]→[t],,l{imm} = {-1},
 global.get x,0x23, []→[t],,,
 global.set x,0x24, [t]→[],,,
 table.get x,0x25,  [i32]→[t],,,
 table.set x,0x26,  [i32 t]→[],,,
(reserved),0x27,,,,
   i32.load memarg,0x28,   [i32]→[i32],,"{-1} = int.from_bytes(mem[{-1} + {imm}:{-1} + {imm} + 4], ""little"")",
   i64.load memarg,0x29,   [i32]→[i64],,"{-1} = int.from_bytes(mem[{-1} + {imm}:{-1} + {imm} + 8], ""little"")",
   f32.load memarg,0x2A,   [i32]→[f32],,"{-1} = unpack_from(""<f"", mem, {-1} + {imm})",unpack_from
   f64.load memarg,0x2B,   [i32]→[f64],,"{-1} = unpack_from(""<d"", mem, {-1} + {imm})",unpack_from
   i32.load8_s memarg,0x2C,   [i32]→[i32],,{-1} = mem[{-1} + {imm}]\nif {-1} & 0x80:\n\t{-1} |= 0xFFFFFF00,
   i32.load8_u memarg,0x2D,   [i32]→[i32],,{-1} = mem[{-1} + {imm}],
   i32.load16_s memarg,0x2E,   [i32]→[i32],,{-1} = mem[{-1} + {imm}] | (mem[{-1} + {imm} + 1] << 8)\nif {-1} & 0x8000:\n\t{-1} |= 0xFFFF0000,
   i32.load16_u memarg,0x2F,   [i32]→[i32],,{-1} = mem[{-1} + {imm}] | (mem[{-1} + {imm} + 1] << 8),
   i64.load8_s memarg,0x30,   [i32]→[i64],,{-1} = mem[{-1} + {imm}]\nif {-1} & 0x80:\n\t{-1} |= 0xFFFFFFFFFFFFFF00,
   i64.load8_u memarg,0x31,   [i32]→[i64],,{-1} = mem[{-1} + {imm}],
   i64.load16_s memarg,0x32,   [i32]→[i64],,{-1} = mem[{-1} + {imm}] | (mem[{-1} + {imm} + 1] << 8)\nif {-1} & 0x8000:\n\t{-1} |= 0xFFFFFFFFFFFF0000,
   i64.load16_u memarg,0x33,   [i32]→[i64],,{-1} = mem[{-1} + {imm}] | (mem[{-1} + {imm} + 1] << 8),
   i64.load32_s memarg,0x34,   [i32]→[i64],,{-1} = int.from_bytes(mem[{-1} + {imm}:{-1} + {imm} + 4])\nif {-1} & 0x80000000:\n\t{-1} |= 0xFFFFFFFF00000000,
   i64.load32_u memarg,0x35,   [i32]→[i64],,{-1} = int.from_bytes(mem[{-1} + {imm}:{-1} + {imm} + 4]),
   i32.store memarg,0x36,   [i32 i32]→[],,"mem[{-2} + {imm}:{-2} + {imm} + 4] = {-1}.to_bytes(4, ""little"")",
   i64.store memarg,0x37,   [i32 i64]→[],,"mem[{-2} + {imm}:{-2} + {imm} + 8] = {-1}.to_bytes(8, ""little"")",
   f32.store memarg,0x38,   [i32 f32]→[],,"pack_into(""<f"", mem, {-2} + {imm}, {-1})",pack_into
   f64.store memarg,0x39,   [i32 f64]→[],,"pack_into(""<d"", mem, {-2} + {imm}, {-1})",pack_into
   i32.store8 memarg,0x3A,   [i32 i32]→[],,mem[{-2} + {imm}] = {-1} & 0xFF,
   i32.store16 memarg,0x3B,   [i32 i32]→[],,mem[{-2} + {imm}] = {-1} & 0xFF\nmem[{-2} + {imm} + 1] = ({-1} >> 8) & 0xFF,
   i64.store8 memarg,0x3C,   [i32 i64]→[],,mem[{-2} + {imm}] = {-1} & 0xFF,
   i64.store16 memarg,0x3D,   [i32 i64]→[],,mem[{-2} + {imm}] = {-1} & 0xFF\nmem[{-2} + {imm} + 1] = ({-1} >> 8) & 0xFF,
   i64.store32 memarg,0x3E,   [i32 i64]→[],,"mem[{-2} + {imm}:{-2} + {imm} + 4] = ({-1} & 0xFFFFFFFF).to_bytes(4, ""little"")",
 memory.size,0x3F,  []→[i32],,{0} = len(mem) // 0x10000,
 memory.grow,0x40,   [i32]→[i32],,{-1} = self._memory_grow({-1}),memory_grow
   i32.const i32,0x41,  []→[i32],,{0} = {imm},
   i64.const i64,0x42,  []→[i64],,{0} = {imm},
   f32.const f32,0x43,  []→[f32],y,,
   f64.const f64,0x44,  []→[f64],y,,
  i32.eqz,0x45,   [i32]→[i32],,{-1} = 1 if {-1} == 0 else 0,
  i32.eq,0x46,    [i32 i32]→[i32],,{-2} = 1 if {-2} == {-1} else 0,
  i32.ne,0x47,    [i32 i32]→[i32],,{-2} = 1 if {-2} != {-1} else 0,
  i32.lt_s,0x48,    [i32 i32]→[i32],,{-2} = 1 if ({-2} - {-1}) & 0x80000000 else 0,
  i32.lt_u,0x49,    [i32 i32]→[i32],,{-2} = 1 if {-2} < {-1} else 0,
  i32.gt_s,0x4A,    [i32 i32]→[i32],,{-2} = 1 if ({-1} - {-2}) & 0x80000000 else 0,
  i32.gt_u,0x4B,    [i32 i32]→[i32],,{-2} = 1 if {-2} > {-1} else 0,
  i32.le_s,0x4C,    [i32 i32]→[i32],,{-2} = 0 if ({-1} - {-2}) & 0x80000000 else 1,
  i32.le_u,0x4D,    [i32 i32]→[i32],,{-2} = 1 if {-2} <= {-1} else 0,
  i32.ge_s,0x4E,    [i32 i32]→[i32],,{-2} = 0 if ({-2} - {-1}) & 0x80000000 else 1,
  i32.ge_u,0x4F,    [i32 i32]→[i32],,{-2} = 1 if {-2} >= {-1} else 0,
  i64.eqz,0x50,   [i64]→[i32],,{-1} = 1 if {-1} == 0 else 0,
  i64.eq,0x51,    [i64 i64]→[i32],,{-2} = 1 if {-2} == {-1} else 0,
  i64.ne,0x52,    [i64 i64]→[i32],,{-2} = 1 if {-2} != {-1} else 0,
  i64.lt_s,0x53,    [i64 i64]→[i32],,{-2} = 1 if ({-2} - {-1}) & 0x8000000000000000 else 0,
  i64.lt_u,0x54,    [i64 i64]→[i32],,{-2} = 1 if {-2} < {-1} else 0,
  i64.gt_s,0x55,    [i64 i64]→[i32],,{-2} = 1 if ({-1} - {-2}) & 0x8000000000000000 else 0,
  i64.gt_u,0x56,    [i64 i64]→[i32],,{-2} = 1 if {-2} > {-1} else 0,
  i64.le_s,0x57,    [i64 i64]→[i32],,{-2} = 0 if ({-1} - {-2}) & 0x8000000000000000 else 1,
  i64.le_u,0x58,    [i64 i64]→[i32],,{-2} = 1 if {-2} <= {-1} else 0,
  i64.ge_s,0x59,    [i64 i64]→[i32],,{-2} = 0 if ({-2} - {-1}) & 0x8000000000000000 else 1,
  i64.ge_u,0x5A,    [i64 i64]→[i32],,{-2} = 1 if {-2} >= {-1} else 0,
  f32.eq,0x5B,    [f32 f32]→[i32],,{-2} = 1 if {-2} == {-1} else 0,
  f32.ne,0x5C,    [f32 f32]→[i32],,{-2} = 1 if {-2} != {-1} else 0,
  f32.lt,0x5D,    [f32 f32]→[i32],,{-2} = 1 if {-2} < {-1} else 0,
  f32.gt,0x5E,    [f32 f32]→[i32],,{-2} = 1 if {-2} > {-1} else 0,
  f32.le,0x5F,    [f32 f32]→[i32],,{-2} = 1 if {-2} <= {-1} else 0,
  f32.ge,0x60,    [f32 f32]→[i32],,{-2} = 1 if {-2} >= {-1} else 0,
  f64.eq,0x61,    [f64 f64]→[i32],,{-2} = 1 if {-2} == {-1} else 0,
  f64.ne,0x62,    [f64 f64]→[i32],,{-2} = 1 if {-2} != {-1} else 0,
  f64.lt,0x63,    [f64 f64]→[i32],,{-2} = 1 if {-2} < {-1} else 0,
  f64.gt,0x64,    [f64 f64]→[i32],,{-2} = 1 if {-2} > {-1} else 0,
  f64.le,0x65,    [f64 f64]→[i32],,{-2} = 1 if {-2} <= {-1} else 0,
  f64.ge,0x66,    [f64 f64]→[i32],,{-2} = 1 if {-2} >= {-1} else 0,
  i32.clz,0x67,   [i32]→[i32],,{-1} = 32 - {-1}.bit_length(),
